Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2019,1838.00,1857.15,1835.00,1846.10,1847.470293486041517537,13970,955,25809160.00,3595,25.73,22.15,8.10
30-December-2019,1832.00,1857.70,1831.05,1848.60,1844.111299995277895830,21177,777,39052745.00,15391,72.68,26.65,16.60
27-December-2019,1818.00,1837.00,1818.00,1828.60,1829.257436452136289886,3698,359,6764594.00,1299,35.13,19.00,10.60
26-December-2019,1817.00,1834.65,1810.10,1819.05,1825.294467873976680724,8062,400,14715524.00,1426,17.69,24.55,2.05
24-December-2019,1811.05,1822.65,1807.75,1817.65,1818.930783350109538753,16889,715,30719922.00,10037,59.43,14.90,6.60
23-December-2019,1820.00,1836.00,1805.00,1806.75,1813.381928700014311216,265526,593,481500050.00,2945,1.11,31.00,-13.25
20-December-2019,1828.10,1828.10,1795.05,1819.55,1809.577297100790693447,11003,663,19910779.00,1575,14.31,33.05,-8.55
19-December-2019,1839.00,1854.00,1826.40,1829.25,1843.819973288996702008,36689,322,67647911.00,31338,85.42,27.60,-9.75
18-December-2019,1846.00,1846.00,1823.50,1838.85,1834.622869628550619082,6865,433,12594686.00,1292,18.82,22.50,-7.15
17-December-2019,1859.00,1866.85,1834.25,1846.30,1849.873127753303964757,9080,560,16796848.00,2801,30.85,32.60,-12.70
16-December-2019,1840.90,1869.45,1839.80,1859.65,1859.294627028501295513,29332,1191,54536830.00,4254,14.50,29.65,18.75
13-December-2019,1827.05,1847.40,1819.00,1839.95,1828.322201714591275248,57973,924,105993323.00,5721,9.87,28.40,12.90
12-December-2019,1826.25,1840.20,1813.45,1829.80,1829.451829820250872882,15466,748,28294302.00,3742,24.20,26.75,3.55
11-December-2019,1810.00,1838.80,1805.40,1819.95,1820.842290473711608537,48025,1078,87445951.00,5215,10.86,33.40,9.95
10-December-2019,1816.35,1821.00,1797.30,1813.80,1812.218605368713360074,12964,801,23493602.00,3016,23.26,23.70,-2.55
9-December-2019,1787.00,1821.00,1783.00,1806.35,1805.971288813270948532,9404,639,16983354.00,1851,19.68,38.00,19.35
6-December-2019,1800.90,1823.60,1773.70,1783.25,1799.609313143309580364,20208,976,36366505.00,2156,10.67,49.90,-17.65
5-December-2019,1805.00,1805.00,1790.55,1801.60,1796.951211980855334259,6477,579,11638853.00,2082,32.14,14.45,-3.40
4-December-2019,1796.20,1822.80,1786.05,1810.50,1803.481068256868968612,31191,1916,56252378.00,5698,18.27,36.75,14.30
3-December-2019,1787.00,1799.75,1782.00,1796.65,1793.302509698361174887,12631,486,22651204.00,4759,37.68,17.75,9.65
2-December-2019,1780.00,1794.65,1778.85,1785.45,1785.777247305960987586,14662,654,26183066.00,1718,11.72,15.80,5.45
29-November-2019,1792.00,1802.95,1781.30,1786.60,1787.229797858548998895,20827,832,37222635.00,2368,11.37,21.65,-5.40
